========================================================================
YOLO-nano INT8 3x3 Convolution — cProfile Results
Layer: 52x52x64 -> 3x3 conv -> 52x52x128
Runs: 15
========================================================================

         82442 function calls in 2.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.379    2.379 /home/claude/codefest/cf02/profiling/profile_conv.py:91(run_all)
       15    0.000    0.000    2.379    0.159 /home/claude/codefest/cf02/profiling/profile_conv.py:84(run_single_inference)
       15    2.275    0.152    2.364    0.158 /home/claude/codefest/cf02/profiling/profile_conv.py:63(conv3x3_int8_vectorized)
    40605    0.037    0.000    0.037    0.000 {method 'astype' of 'numpy.ndarray' objects}
    40560    0.034    0.000    0.034    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       30    0.013    0.000    0.013    0.000 {built-in method numpy.zeros}
       15    0.010    0.001    0.011    0.001 /home/claude/codefest/cf02/profiling/profile_conv.py:29(generate_inputs)
       15    0.000    0.000    0.004    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:2207(clip)
       30    0.000    0.000    0.004    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
       15    0.000    0.000    0.004    0.000 {method 'clip' of 'numpy.ndarray' objects}
       15    0.004    0.000    0.004    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/_methods.py:96(_clip)
       15    0.000    0.000    0.003    0.000 /home/claude/codefest/cf02/profiling/profile_conv.py:36(pad_input)
       15    0.000    0.000    0.003    0.000 /usr/local/lib/python3.12/dist-packages/numpy/lib/_arraypad_impl.py:546(pad)
       30    0.000    0.000    0.001    0.000 /usr/local/lib/python3.12/dist-packages/numpy/lib/_arraypad_impl.py:471(_as_pairs)
       30    0.000    0.000    0.001    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:3287(prod)
       15    0.001    0.000    0.001    0.000 /usr/local/lib/python3.12/dist-packages/numpy/lib/_arraypad_impl.py:87(_pad_simple)
       30    0.000    0.000    0.001    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
       15    0.000    0.000    0.001    0.000 /usr/local/lib/python3.12/dist-packages/numpy/lib/_stride_tricks_impl.py:400(broadcast_to)
       15    0.001    0.000    0.001    0.000 /usr/local/lib/python3.12/dist-packages/numpy/lib/_stride_tricks_impl.py:373(_broadcast_to)
       45    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       45    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/numpy/lib/_arraypad_impl.py:130(_set_pad_area)
